"filename", "language", "Properties", "XML", "Markdown", "Batch", "comment", "blank", "total"
"e:\proData\andriod_PRO\Todo\.idea\appInsightsSettings.xml", "XML", 0, 27, 0, 0, 0, 0, 27
"e:\proData\andriod_PRO\Todo\.idea\compiler.xml", "XML", 0, 6, 0, 0, 0, 0, 6
"e:\proData\andriod_PRO\Todo\.idea\deploymentTargetSelector.xml", "XML", 0, 10, 0, 0, 0, 0, 10
"e:\proData\andriod_PRO\Todo\.idea\gradle.xml", "XML", 0, 20, 0, 0, 0, 0, 20
"e:\proData\andriod_PRO\Todo\.idea\kotlinc.xml", "XML", 0, 6, 0, 0, 0, 0, 6
"e:\proData\andriod_PRO\Todo\.idea\migrations.xml", "XML", 0, 10, 0, 0, 0, 0, 10
"e:\proData\andriod_PRO\Todo\.idea\misc.xml", "XML", 0, 9, 0, 0, 0, 0, 9
"e:\proData\andriod_PRO\Todo\.idea\runConfigurations.xml", "XML", 0, 17, 0, 0, 0, 0, 17
"e:\proData\andriod_PRO\Todo\.idea\vcs.xml", "XML", 0, 6, 0, 0, 0, 0, 6
"e:\proData\andriod_PRO\Todo\README.md", "Markdown", 0, 0, 56, 0, 0, 34, 90
"e:\proData\andriod_PRO\Todo\app\src\androidTest\res\drawable\task_add.xml", "XML", 0, 3, 0, 0, 0, 3, 6
"e:\proData\andriod_PRO\Todo\app\src\androidTest\res\drawable\task_return.xml", "XML", 0, 3, 0, 0, 0, 3, 6
"e:\proData\andriod_PRO\Todo\app\src\main\AndroidManifest.xml", "XML", 0, 46, 0, 0, 0, 6, 52
"e:\proData\andriod_PRO\Todo\app\src\main\assets\author.md", "Markdown", 0, 0, 13, 0, 0, 12, 25
"e:\proData\andriod_PRO\Todo\app\src\main\assets\user_manual.md", "Markdown", 0, 0, 27, 0, 0, 20, 47
"e:\proData\andriod_PRO\Todo\app\src\main\res\anim\activity_add_in.xml", "XML", 0, 7, 0, 0, 0, 0, 7
"e:\proData\andriod_PRO\Todo\app\src\main\res\anim\activity_add_out.xml", "XML", 0, 7, 0, 0, 0, 0, 7
"e:\proData\andriod_PRO\Todo\app\src\main\res\drawable\app_password_input.xml", "XML", 0, 12, 0, 0, 0, 0, 12
"e:\proData\andriod_PRO\Todo\app\src\main\res\drawable\gradient_background.xml", "XML", 0, 9, 0, 0, 0, 1, 10
"e:\proData\andriod_PRO\Todo\app\src\main\res\drawable\input_box.xml", "XML", 0, 12, 0, 0, 0, 0, 12
"e:\proData\andriod_PRO\Todo\app\src\main\res\drawable\nav_item_icon_tint.xml", "XML", 0, 5, 0, 0, 0, 1, 6
"e:\proData\andriod_PRO\Todo\app\src\main\res\drawable\search_box.xml", "XML", 0, 12, 0, 0, 0, 0, 12
"e:\proData\andriod_PRO\Todo\app\src\main\res\drawable\task_add.xml", "XML", 0, 3, 0, 0, 0, 3, 6
"e:\proData\andriod_PRO\Todo\app\src\main\res\drawable\task_return.xml", "XML", 0, 3, 0, 0, 0, 3, 6
"e:\proData\andriod_PRO\Todo\app\src\main\res\drawable\task_tag.xml", "XML", 0, 3, 0, 0, 0, 3, 6
"e:\proData\andriod_PRO\Todo\app\src\main\res\drawable\task_time.xml", "XML", 0, 3, 0, 0, 0, 3, 6
"e:\proData\andriod_PRO\Todo\app\src\main\res\drawable\user_menu_author.xml", "XML", 0, 5, 0, 0, 0, 1, 6
"e:\proData\andriod_PRO\Todo\app\src\main\res\drawable\user_menu_check_version.xml", "XML", 0, 3, 0, 0, 0, 3, 6
"e:\proData\andriod_PRO\Todo\app\src\main\res\drawable\user_menu_introduction.xml", "XML", 0, 4, 0, 0, 0, 1, 5
"e:\proData\andriod_PRO\Todo\app\src\main\res\drawable\user_menu_lock.xml", "XML", 0, 4, 0, 0, 0, 3, 7
"e:\proData\andriod_PRO\Todo\app\src\main\res\drawable\user_menu_share.xml", "XML", 0, 5, 0, 0, 0, 1, 6
"e:\proData\andriod_PRO\Todo\app\src\main\res\drawable\user_menu_submit.xml", "XML", 0, 4, 0, 0, 0, 1, 5
"e:\proData\andriod_PRO\Todo\app\src\main\res\drawable\user_menu_tag.xml", "XML", 0, 5, 0, 0, 0, 1, 6
"e:\proData\andriod_PRO\Todo\app\src\main\res\layout\activity_alarm_view.xml", "XML", 0, 45, 0, 0, 0, 5, 50
"e:\proData\andriod_PRO\Todo\app\src\main\res\layout\activity_main.xml", "XML", 0, 58, 0, 0, 4, 6, 68
"e:\proData\andriod_PRO\Todo\app\src\main\res\layout\activity_start.xml", "XML", 0, 59, 0, 0, 0, 6, 65
"e:\proData\andriod_PRO\Todo\app\src\main\res\layout\activity_task_add.xml", "XML", 0, 162, 0, 0, 0, 23, 185
"e:\proData\andriod_PRO\Todo\app\src\main\res\layout\fragment_alarm.xml", "XML", 0, 65, 0, 0, 0, 3, 68
"e:\proData\andriod_PRO\Todo\app\src\main\res\layout\fragment_alarm_add_date.xml", "XML", 0, 57, 0, 0, 1, 7, 65
"e:\proData\andriod_PRO\Todo\app\src\main\res\layout\fragment_alarm_add_remain.xml", "XML", 0, 60, 0, 0, 1, 7, 68
"e:\proData\andriod_PRO\Todo\app\src\main\res\layout\fragment_alarm_delete.xml", "XML", 0, 25, 0, 0, 0, 2, 27
"e:\proData\andriod_PRO\Todo\app\src\main\res\layout\fragment_alarm_item.xml", "XML", 0, 68, 0, 0, 0, 4, 72
"e:\proData\andriod_PRO\Todo\app\src\main\res\layout\fragment_record.xml", "XML", 0, 23, 0, 0, 0, 3, 26
"e:\proData\andriod_PRO\Todo\app\src\main\res\layout\fragment_record_add.xml", "XML", 0, 56, 0, 0, 0, 7, 63
"e:\proData\andriod_PRO\Todo\app\src\main\res\layout\fragment_record_date.xml", "XML", 0, 7, 0, 0, 0, 1, 8
"e:\proData\andriod_PRO\Todo\app\src\main\res\layout\fragment_record_delete.xml", "XML", 0, 25, 0, 0, 0, 2, 27
"e:\proData\andriod_PRO\Todo\app\src\main\res\layout\fragment_record_item.xml", "XML", 0, 33, 0, 0, 0, 3, 36
"e:\proData\andriod_PRO\Todo\app\src\main\res\layout\fragment_task.xml", "XML", 0, 44, 0, 0, 0, 4, 48
"e:\proData\andriod_PRO\Todo\app\src\main\res\layout\fragment_task_click_alarm.xml", "XML", 0, 53, 0, 0, 0, 4, 57
"e:\proData\andriod_PRO\Todo\app\src\main\res\layout\fragment_task_click_delete.xml", "XML", 0, 25, 0, 0, 0, 2, 27
"e:\proData\andriod_PRO\Todo\app\src\main\res\layout\fragment_task_click_edit.xml", "XML", 0, 130, 0, 0, 1, 16, 147
"e:\proData\andriod_PRO\Todo\app\src\main\res\layout\fragment_task_click_edit_tag.xml", "XML", 0, 6, 0, 0, 0, 0, 6
"e:\proData\andriod_PRO\Todo\app\src\main\res\layout\fragment_task_click_view.xml", "XML", 0, 78, 0, 0, 0, 11, 89
"e:\proData\andriod_PRO\Todo\app\src\main\res\layout\fragment_task_item_grid.xml", "XML", 0, 66, 0, 0, 0, 10, 76
"e:\proData\andriod_PRO\Todo\app\src\main\res\layout\fragment_task_item_linear.xml", "XML", 0, 54, 0, 0, 0, 6, 60
"e:\proData\andriod_PRO\Todo\app\src\main\res\layout\fragment_user.xml", "XML", 0, 299, 0, 0, 6, 39, 344
"e:\proData\andriod_PRO\Todo\app\src\main\res\layout\fragment_user_change_name_or_signature.xml", "XML", 0, 25, 0, 0, 0, 2, 27
"e:\proData\andriod_PRO\Todo\app\src\main\res\layout\fragment_user_menu_lock.xml", "XML", 0, 37, 0, 0, 0, 3, 40
"e:\proData\andriod_PRO\Todo\app\src\main\res\layout\fragment_user_menu_submit_bug.xml", "XML", 0, 24, 0, 0, 0, 3, 27
"e:\proData\andriod_PRO\Todo\app\src\main\res\layout\fragment_user_menu_task_tag.xml", "XML", 0, 36, 0, 0, 0, 3, 39
"e:\proData\andriod_PRO\Todo\app\src\main\res\layout\fragment_user_show_markdown.xml", "XML", 0, 20, 0, 0, 0, 4, 24
"e:\proData\andriod_PRO\Todo\app\src\main\res\layout\nav_side_header.xml", "XML", 0, 77, 0, 0, 0, 7, 84
"e:\proData\andriod_PRO\Todo\app\src\main\res\menu\nav_bottom.xml", "XML", 0, 26, 0, 0, 0, 2, 28
"e:\proData\andriod_PRO\Todo\app\src\main\res\menu\nav_side_menu.xml", "XML", 0, 18, 0, 0, 0, 0, 18
"e:\proData\andriod_PRO\Todo\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 5, 0, 0, 0, 0, 5
"e:\proData\andriod_PRO\Todo\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml", "XML", 0, 5, 0, 0, 0, 0, 5
"e:\proData\andriod_PRO\Todo\app\src\main\res\navigation\nav_graph.xml", "XML", 0, 28, 0, 0, 0, 5, 33
"e:\proData\andriod_PRO\Todo\app\src\main\res\values-night\themes.xml", "XML", 0, 4, 0, 0, 3, 0, 7
"e:\proData\andriod_PRO\Todo\app\src\main\res\values\colors.xml", "XML", 0, 12, 0, 0, 0, 0, 12
"e:\proData\andriod_PRO\Todo\app\src\main\res\values\strings.xml", "XML", 0, 3, 0, 0, 0, 0, 3
"e:\proData\andriod_PRO\Todo\app\src\main\res\values\styles.xml", "XML", 0, 6, 0, 0, 0, 1, 7
"e:\proData\andriod_PRO\Todo\app\src\main\res\values\themes.xml", "XML", 0, 6, 0, 0, 1, 1, 8
"e:\proData\andriod_PRO\Todo\app\src\main\res\xml\backup_rules.xml", "XML", 0, 3, 0, 0, 10, 0, 13
"e:\proData\andriod_PRO\Todo\app\src\main\res\xml\data_extraction_rules.xml", "XML", 0, 5, 0, 0, 14, 0, 19
"e:\proData\andriod_PRO\Todo\app\src\main\res\xml\file_paths.xml", "XML", 0, 4, 0, 0, 0, 0, 4
"e:\proData\andriod_PRO\Todo\gradle.properties", "Properties", 4, 0, 0, 0, 19, 0, 23
"e:\proData\andriod_PRO\Todo\gradle\wrapper\gradle-wrapper.properties", "Properties", 5, 0, 0, 0, 1, 1, 7
"e:\proData\andriod_PRO\Todo\gradlew.bat", "Batch", 0, 0, 0, 39, 29, 22, 90
"Total", "-", 9, 2111, 96, 39, 90, 328, 2673